Stichtag;Geschlecht;Staatsangehörigkeit;Bundesland Schlüssel;Bundesland;Berufsabschluss;Sozialversicherungspflichtig Beschäftigte (SvB)
Jun 25;Frauen;Deutsche;4000000;Bremen;Ohne Berufsabschluss;14.130
Jun 25;Frauen;Deutsche;4000000;Bremen;Anerkannter Berufsabschluss;80.950
Jun 25;Frauen;Deutsche;4000000;Bremen;Akademischer Berufsabschluss;30.360
Jun 25;Frauen;Deutsche;5000000;Nordrhein-Westfalen;Ohne Berufsabschluss;338.900
Jun 25;Frauen;Deutsche;5000000;Nordrhein-Westfalen;Anerkannter Berufsabschluss;1.837.730
Jun 25;Frauen;Deutsche;5000000;Nordrhein-Westfalen;Akademischer Berufsabschluss;582.300
Jun 25;Frauen;Deutsche;6000000;Hessen;Ohne Berufsabschluss;106.050
Jun 25;Frauen;Deutsche;6000000;Hessen;Anerkannter Berufsabschluss;627.100
Jun 25;Frauen;Deutsche;6000000;Hessen;Akademischer Berufsabschluss;257.030
Jun 25;Frauen;Deutsche;7000000;Rheinland-Pfalz;Ohne Berufsabschluss;66.750
Jun 25;Frauen;Deutsche;7000000;Rheinland-Pfalz;Anerkannter Berufsabschluss;417.740
Jun 25;Frauen;Deutsche;7000000;Rheinland-Pfalz;Akademischer Berufsabschluss;98.280
Jun 25;Frauen;Deutsche;8000000;Baden-Württemberg;Ohne Berufsabschluss;190.740
Jun 25;Frauen;Deutsche;8000000;Baden-Württemberg;Anerkannter Berufsabschluss;1.195.720
Jun 25;Frauen;Deutsche;8000000;Baden-Württemberg;Akademischer Berufsabschluss;408.820
Jun 25;Frauen;Deutsche;9000000;Bayern;Ohne Berufsabschluss;197.210
Jun 25;Frauen;Deutsche;9000000;Bayern;Anerkannter Berufsabschluss;1.526.540
Jun 25;Frauen;Deutsche;9000000;Bayern;Akademischer Berufsabschluss;484.390
Jun 25;Frauen;Deutsche;10000000;Saarland;Ohne Berufsabschluss;16.990
Jun 25;Frauen;Deutsche;10000000;Saarland;Anerkannter Berufsabschluss;108.880
Jun 25;Frauen;Deutsche;10000000;Saarland;Akademischer Berufsabschluss;24.020
Jun 25;Frauen;Deutsche;11000000;Berlin;Ohne Berufsabschluss;61.380
Jun 25;Frauen;Deutsche;11000000;Berlin;Anerkannter Berufsabschluss;329.040
Jun 25;Frauen;Deutsche;11000000;Berlin;Akademischer Berufsabschluss;227.140
