statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2001-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE082;Gymnasien (G8);BILFO1;Förderschwerpunkte;FOERD-UEB;Förderschwerpunktübergreifend;-;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2005-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;;Insgesamt;BILFO1;Förderschwerpunkte;FOERD-X;Keinem Schwerpunkt zugeordnet;11626;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2015-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE082;Gymnasien (G8);BILFO1;Förderschwerpunkte;FOERD-LRN;Lernen;821;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2005-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE081;Gymnasien (G9);BILFO1;Förderschwerpunkte;FOERD-HOE;Hören;220;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2013-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE06;Schularten mit zwei Bildungsgängen;BILFO1;Förderschwerpunkte;FOERD-UEB;Förderschwerpunktübergreifend;1;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2000-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;;Insgesamt;BILFO1;Förderschwerpunkte;FOERD-MOT;Körperliche und motorische Entwicklung;25170;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2012-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;;Insgesamt;BILFO1;Förderschwerpunkte;FOERD-X;Keinem Schwerpunkt zugeordnet;10579;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2011-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE09;Schularten mit drei Bildungsgängen;BILFO1;Förderschwerpunkte;FOERD-SOZ;Emotionale und soziale Entwicklung;2371;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2000-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE11;Förderschulen;BILFO1;Förderschwerpunkte;;Insgesamt;411408;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2016-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE06;Schularten mit zwei Bildungsgängen;BILFO1;Förderschwerpunkte;FOERD-SPR;Sprache;2090;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
